id,content,server,channel,created,author,author_created,author_joined
847557361810800710,hi does anyone know how to do this?,Homework Help Voice,academic-help,2021-05-27 19:30:21.910000,dumb bic,2020-04-20 18:38:11.859000,2021-05-27 19:22:16.337926
847550355129630801,we dont gotta taaaalk about it maaan,Homework Help Voice,academic-help,2021-05-27 19:02:31.387000,Zachh,2018-05-08 05:23:11.208000,2021-05-27 18:21:57.208589
847550322061869107,shh,Homework Help Voice,academic-help,2021-05-27 19:02:23.503000,Zachh,2018-05-08 05:23:11.208000,2021-05-27 18:21:57.208589
847550288705749012,i swear i just saw you in a different server,Homework Help Voice,academic-help,2021-05-27 19:02:15.550000,cpt,2017-06-25 12:30:26.141000,
847551345078435860,,Homework Help Voice,general,2021-05-27 19:06:27.409000,Zachh,2018-05-08 05:23:11.208000,2021-05-27 18:21:57.208589
847551331249160232,button can u help,Homework Help Voice,general,2021-05-27 19:06:24.112000,Zachh,2018-05-08 05:23:11.208000,2021-05-27 18:21:57.208589
847541294468825108,oh ok,Homework Help Voice,general,2021-05-27 18:26:31.157000,Zachh,2018-05-08 05:23:11.208000,2021-05-27 18:21:57.208589
847541223958642739,can anyone help me with the problem on #academic-help ?,Homework Help Voice,general,2021-05-27 18:26:14.346000,Zachh,2018-05-08 05:23:11.208000,2021-05-27 18:21:57.208589
847540707878240327,ty,Homework Help Voice,general,2021-05-27 18:24:11.303000,Zachh,2018-05-08 05:23:11.208000,2021-05-27 18:21:57.208589
847504504832000061,i have homework too,Homework Help Voice,general,2021-05-27 16:00:19.824000,khush,2017-07-27 17:23:05.005000,
847504436939325510,so do yall help or nah,Homework Help Voice,general,2021-05-27 16:00:03.637000,khush,2017-07-27 17:23:05.005000,
847504229517230120,they on trig,Homework Help Voice,general,2021-05-27 15:59:14.184000,khush,2017-07-27 17:23:05.005000,
847504188716089354,if u do 2 questions,Homework Help Voice,general,2021-05-27 15:59:04.456000,khush,2017-07-27 17:23:05.005000,
847504174315995136,il send u 10$ in bitcoin,Homework Help Voice,general,2021-05-27 15:59:01.023000,khush,2017-07-27 17:23:05.005000,
847504086488317972,i can post in chat,Homework Help Voice,general,2021-05-27 15:58:40.083000,khush,2017-07-27 17:23:05.005000,
847504032288211004,can u help with 1 question,Homework Help Voice,general,2021-05-27 15:58:27.161000,khush,2017-07-27 17:23:05.005000,
847503969810120814,oh ok,Homework Help Voice,general,2021-05-27 15:58:12.265000,khush,2017-07-27 17:23:05.005000,
847503933849075732,then what u help with,Homework Help Voice,general,2021-05-27 15:58:03.691000,khush,2017-07-27 17:23:05.005000,
847503888097869825,or nah,Homework Help Voice,general,2021-05-27 15:57:52.783000,khush,2017-07-27 17:23:05.005000,
847503885093961729,@Pickle 🌷 canu help me,Homework Help Voice,general,2021-05-27 15:57:52.067000,khush,2017-07-27 17:23:05.005000,
847503793805721601,someone tryna help its ez but i didnt study lol,Homework Help Voice,general,2021-05-27 15:57:30.302000,khush,2017-07-27 17:23:05.005000,
847503570160451604,i have a test,Homework Help Voice,general,2021-05-27 15:56:36.981000,khush,2017-07-27 17:23:05.005000,
847503558370131998,lol,Homework Help Voice,general,2021-05-27 15:56:34.170000,khush,2017-07-27 17:23:05.005000,
847503553126858752,can someone help with math work,Homework Help Voice,general,2021-05-27 15:56:32.920000,khush,2017-07-27 17:23:05.005000,
847314227412205621,omg its not a test either😭  idk what to call it,Homework Help Voice,general,2021-05-27 03:24:14.152000,prada baby,2021-05-21 01:40:46.171000,2021-05-27 03:12:36.754664
847314038957801504,sorry  its not a project its more of show what u know test but i call it a project,Homework Help Voice,general,2021-05-27 03:23:29.221000,prada baby,2021-05-21 01:40:46.171000,2021-05-27 03:12:36.754664
847313872419029023,i-,Homework Help Voice,general,2021-05-27 03:22:49.515000,prada baby,2021-05-21 01:40:46.171000,2021-05-27 03:12:36.754664
847313816403705857,math,Homework Help Voice,general,2021-05-27 03:22:36.160000,prada baby,2021-05-21 01:40:46.171000,2021-05-27 03:12:36.754664
