id,content,server,channel,created,author,author_created,author_joined,posted-relative,ask-to-ask
8.39695836320498E+017,"hi can anyone help me with my work, of coarse you dont need to but if its possible, it would help alot",Homework Help Voice,academic-help-2,2021-05-06 02:51:28.173000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:01:47.490308000,1
8.3969589395941E+017,hold on,Homework Help Voice,academic-help-2,2021-05-06 02:51:41.915000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:02:01.232308000,
8.39696085751431E+017,,Homework Help Voice,academic-help-2,2021-05-06 02:52:27.642000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:02:46.959308000,
8.39696141112574E+017,its this but i dont know how to send a pic,Homework Help Voice,academic-help-2,2021-05-06 02:52:40.841000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:03:00.158308000,
8.3969641435077E+017,its a assignment i have to do,Homework Help Voice,academic-help-2,2021-05-06 02:53:45.986000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:04:05.303308000,
8.39696466514674E+017,,Homework Help Voice,academic-help-2,2021-05-06 02:53:58.423000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:04:17.740308000,
8.39696480385368E+017,here is the pic,Homework Help Voice,academic-help-2,2021-05-06 02:54:01.730000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:04:21.047308000,
8.39698018445034E+017,yes,Homework Help Voice,academic-help-2,2021-05-06 03:00:08.432000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:10:27.749308000,
8.39698658769633E+017,c is a positive value,Homework Help Voice,academic-help-2,2021-05-06 03:02:41.097000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:13:00.414308000,
8.39698725902484E+017,and e is negative,Homework Help Voice,academic-help-2,2021-05-06 03:02:57.103000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:13:16.420308000,
8.39698730860806E+017,ok,Homework Help Voice,academic-help-2,2021-05-06 03:02:58.285000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:13:17.602308000,
8.39698754499248E+017,i get it for this part,Homework Help Voice,academic-help-2,2021-05-06 03:03:03.921000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:13:23.238308000,
8.39698885018517E+017,equal to zero,Homework Help Voice,academic-help-2,2021-05-06 03:03:35.039000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:13:54.356308000,
8.39699018665427E+017,no im sorry,Homework Help Voice,academic-help-2,2021-05-06 03:04:06.903000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:14:26.220308000,
8.3970004603424E+017,no its fine,Homework Help Voice,academic-help-2,2021-05-06 03:08:11.847000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:18:31.164308000,
8.39700091983757E+017,im just trying to understand something,Homework Help Voice,academic-help-2,2021-05-06 03:08:22.802000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:18:42.119308000,
8.3970018474079E+017,-10x + 20,Homework Help Voice,academic-help-2,2021-05-06 03:08:44.917000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:19:04.234308000,
8.39700220065612E+017,thats it right,Homework Help Voice,academic-help-2,2021-05-06 03:08:53.339000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:19:12.656308000,
8.39700312981373E+017,ah ok,Homework Help Voice,academic-help-2,2021-05-06 03:09:15.492000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:19:34.809308000,
8.39700598856745E+017,yess,Homework Help Voice,academic-help-2,2021-05-06 03:10:23.650000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:20:42.967308000,
8.39700959605293E+017,ok,Homework Help Voice,academic-help-2,2021-05-06 03:11:49.659000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:22:08.976308000,
8.39701894322848E+017,"-10x = -20
x=-20/-10
x=2",Homework Help Voice,academic-help-2,2021-05-06 03:15:32.513000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:25:51.830308000,
8.39702047061181E+017,"the coordinates are (2,0)",Homework Help Voice,academic-help-2,2021-05-06 03:16:08.929000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:26:28.246308000,
8.397021377845E+017,wait,Homework Help Voice,academic-help-2,2021-05-06 03:16:30.559000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:26:49.876308000,
8.39702155631657E+017,sorry,Homework Help Voice,academic-help-2,2021-05-06 03:16:34.814000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:26:54.131308000,
8.39702793262596E+017,"(-10 x -10) + 20 + 3
100 + 20 +  3
123",Homework Help Voice,academic-help-2,2021-05-06 03:19:06.837000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:29:26.154308000,
8.39703305671803E+017,is it 23,Homework Help Voice,academic-help-2,2021-05-06 03:21:09.005000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:31:28.322308000,
8.39703626406822E+017,ahh,Homework Help Voice,academic-help-2,2021-05-06 03:22:25.474000,taki,2020-04-05 09:14:40.453000,2021-05-06 02:49:40.682692,0 days 00:32:44.791308000,
